id;nomSrtm;arrondissement;adresse;codePostal;ville;telephone;ouvRes;dateFerm;dateOuv;phoId;gpsLon;gpsLat;equCom;coordLogo;coordName;adresseComp;fax;equHanSiGestionComplete
293;Max Rousié;17;28, rue André Bréchet;75017;Paris;01 44 85 42 50;V;Feb 4, 2022 12:00:00 PM;Feb 4, 2022 2:00:00 PM;26.0;2.32533;48.89891;INTERVENTION PONCTUELLE;273,24,290,44;206,16,274,32;;01 44 85 42 51;
218;Moureu - Baudricourt;13;17 avenue Edison;75013;Paris;01 53 60 91 10;V;Jun 12, 2022 1:00:00 PM;Jun 12, 2022 2:00:00 PM;;2.36411;48.82766;;;;;;
545;NEUVE SAINT PIERRE;4;5 - 7 rue Neuve-Saint-Pierre;75004;Paris;;V;Dec 24, 2021 8:00:00 AM;Dec 24, 2021 9:00:00 AM;;2.36359;48.85363;Fermeture;;;;;
273;Niox;16;12 quai Saint-Exupéry;75016;Paris;01 45 20 62 59;V;Nov 11, 2021 6:00:00 PM;Nov 11, 2021 10:00:00 PM;56.0;2.26436;48.83724;Fermeture;104,292,121,312;86,312,115,324;;01 40 72 67 98;
302;Paul Barruel;15;24 rue Paul Barruel;75015;Paris;01 45 32 06 32;V;Jun 15, 2022 5:00:00 PM;Jun 15, 2022 8:00:00 PM;;2.30475;48.83877;FUTSAL;;;;;
15;Philippe Auguste;11;108 avenue Philippe Auguste;75011;Paris;01 43 48 92 52;V;Jun 11, 2022 1:00:00 PM;Jun 11, 2022 10:00:00 PM;574.0;2.39154;48.85686;Fermeture;463,199,480,215;478,207,523,230;;;
264;Poissonniers;18;2 rue Jean Cocteau;75018;Paris;01 42 51 24 68;V;Apr 16, 2022 11:00:00 AM;Apr 16, 2022 1:00:00 PM;19.0;2.35197;48.89972;AS SPORTIVE  CASI;370,14,387,34;387,26,458,39;;;V
267;Poliveau;5;39BIS RUE DE POLIVEAU;75005;Paris;01 45 87 62 00;V;Jun 20, 2022 8:00:00 AM;Jun 21, 2022 10:00:00 PM;;2.35771;48.83982;NETTOYAGE;;;;;
23;Porte de Bagnolet;20;72 rue Louis Lumière;75020;Paris;01 43 61 29 71;F;;;57.0;2.41201;48.8625;;536,153,556,174;490,142,580,155;;;
430;Porte de Bagnolet;20;72 rue Louis Lumière;75020;Paris;01 43 61 29 71;F;Nov 11, 2021 6:00:00 PM;Nov 11, 2021 10:00:00 PM;66.0;2.41201;48.8625;Fermeture;;;;01 43 61 51 09;
272;Poterne des Peupliers;13;17 rue Max Jacob;75013;Paris;01 45 80 46 78;V;May 20, 2022 12:00:00 PM;May 20, 2022 10:00:00 PM;;2.35382;48.82031;INTEMPERIES;;;;;
79;Reims - Asnières;17;34, boulevard de Reims;75017;Paris;01 42 67 11 33;V;May 31, 2022 8:00:00 AM;May 31, 2022 10:00:00 AM;46.0;2.29611;48.88891;"GREVE

";214,53,231,73;178,50,214,63;;01 47 66 11 87;
133;Reims - Asnières;17;1 - 11 Boulevard de Reims;75017;Paris;01 47 66 13 47;F;Feb 25, 2022 8:00:00 AM;Feb 25, 2022 2:00:00 PM;41.0;2.29611;48.88891;intervention ponctuelle;232,39,249,59;152,32,232,48;;01 42 26 26 24;
220;René et André Mourlon;15;19 rue Gaston de Caillavet;75015;Paris;01 45 75 40 43;V;Dec 24, 2021 1:00:00 PM;Dec 24, 2021 2:00:00 PM;47.0;2.28493;48.8489;Fermeture;179,224,196,244;85,212,195,224;;;
258;Rigoulot - La Plaine;15;18 avenue de la Porte de Brancion;75015;Paris;01 42 50 94 49;V;Jun 21, 2022 8:00:00 PM;Jun 21, 2022 10:00:00 PM;;2.30001;48.82653;Association;;;;;
257;Rigoulot - La Plaine;15;18 av de la Porte de Brancion;75015;Paris;01 45 33 56 99;V;Mar 28, 2022 8:00:00 AM;Mar 28, 2022 10:00:00 PM;44.0;2.30001;48.82653;TRAVAUX;201,324,218,344;161,312,212,323;;01 40 60 79 31;
303;Sablonnière;15;62 rue Cambronne;75015;Paris;01 42 73 01 96;V;Nov 11, 2021 5:00:00 PM;Nov 11, 2021 10:00:00 PM;;2.30206;48.84397;Fermeture;;;;01 40 60 79 31;
305;Sept arpents;19;9 rue des Sept Arpents;75019;Paris;01 42 01 66 93;V;Apr 5, 2021 6:00:00 PM;Apr 5, 2021 7:00:00 PM;60.0;2.39877;48.88955;Lundi de P¿ques;507,49,524,69;516,68,580,80;;;
188;Suzanne Lenglen;15;2 rue Louis Armand;75015;Paris;01 44 26 26 50;V;May 18, 2022 9:00:00 AM;May 18, 2022 12:00:00 PM;678.0;2.2767;48.83265;Relogement;130,317,147,337;59,336,147,349;;01 40 60 79 31;
320;Thiéré;11;9t-11 passage Thiéré;75011;Paris;01 43 38 35 10;V;Feb 18, 2022 3:00:00 PM;Feb 18, 2022 8:00:00 PM;679.0;2.37378;48.85377;"Effectif momentan?ment incomplet

";427,197,446,216;392,190,428,202;;;
330;Valeyre;9;24 rue de Rochechouart;75009;Paris;01 42 85 26 73;V;Feb 23, 2022 8:00:00 AM;Feb 23, 2022 9:00:00 AM;;2.34509;48.87793;Fermeture;;;;;
